#MCPL-ASCII
#ASCII-FORMAT: v1
#NPARTICLES: 64
#NCOMMENTS: 2
Comment 1
Comment 2...
#END-HEADER
index     pdgcode               ekin[MeV]                   x[cm]                   y[cm]                   z[cm]                      ux                      uy                      uz                time[ms]                  weight                   pol-x                   pol-y                   pol-z  userflags
    0        2112 3.47369990549850627e-08    -123.480003356933594     90.6859970092773438     -1.4514000415802002   -0.948694166783049964    0.283021241426467896   -0.140990619593062111     2.42400002479553223     0.51996999979019165                       0                       0                       0 0x00000000
    1        2112 5.77080001562535472e-08    -117.540000915527344     105.400001525878906    -24.8850002288818359   -0.879177118394508961    0.359458833932876587   -0.312788972310636737     3.75279998779296875    0.380140006542205811                       0                       0                       0 0x00000000
    2        2112 8.20930026179667038e-08    -118.849998474121094     102.160003662109375    -22.4650001525878906   -0.336118191480636597    0.576056897640228271   -0.745106040800168068     4.23540019989013672    0.368730008602142334                       0                       0                       0 0x00000000
    3        2112 2.97570004192948545e-08    -113.430000305175781      115.55999755859375     3.10010004043579102   -0.823322305114626118    0.284240782260894775    0.491271370629770332     7.95730018615722656                    0.25                       0                       0                       0 0x00000000
    4        2112 1.23809996921409038e-07     -120.44000244140625     98.2139968872070312    -20.9349994659423828   -0.756570069965022074    0.563810050487518311   -0.331240028079916093     3.50359988212585449    0.884909987449645996                       0                       0                       0 0x00000000
    5        2112 1.52219996607527719e-07    -116.569999694824219      107.80999755859375        6.02239990234375   -0.344238966703414917      0.2638092041015625    0.901057288763741915    0.476610004901885986    0.253989994525909424                       0                       0                       0 0x00000000
    6        2112 7.12149983428389532e-08    -117.349998474121094     105.860000610351562    -12.4340000152587891   -0.807120352930670859   0.0803020372986793518     -0.5849002638832973     2.46350002288818359    0.525200009346008301                       0                       0                       0 0x00000000
    7        2112 2.29840004806192155e-08     -120.05999755859375     99.1480026245117188    -18.0610008239746094   -0.862097802653479239    0.461878806352615356   -0.208459461052565465     8.07890033721923828    0.329459995031356812                       0                       0                       0 0x00000000
    8        2112 4.16690006943554181e-08                 -119.75     99.9359970092773438    -13.1190004348754883   -0.974620263372899309    0.165060043334960938   -0.151230037747800611     2.54819989204406738    0.382259994745254517                       0                       0                       0 0x00000000
    9        2112 6.52409992696334484e-09    -119.370002746582031     100.879997253417969    -1.52900004386901855   -0.937178779853581112    0.344109565019607544   0.0573109226428034427     1.91400003433227539    0.934939980506896973                       0                       0                       0 0x00000000
   10        2112 1.59510005204310801e-08    -115.769996643066406     109.790000915527344     2.06730008125305176   -0.988787775881025288    0.128029718995094299   0.0768578253809757278     8.59210014343261719    0.264550000429153442                       0                       0                       0 0x00000000
   11        2112 9.89910020621209696e-09    -117.319999694824219      105.94000244140625   0.0560589991509914398   -0.577536880970001221   -0.283478468656539917   -0.765565874975880689      3.1389000415802002    0.299549996852874756                       0                       0                       0 0x00000000
   12        2112 1.14179997012797685e-07    -113.879997253417969     114.449996948242188     7.57989978790283203    -0.89445765245867348    0.356609076261520386   -0.269769299005694962     8.18029975891113281    0.539449989795684814                       0                       0                       0 0x00000000
